Tags,Device Name,IP Address,Device Family,Site,Reachability,Support Type,MAC Address,Platform,Serial Number,Uptime,Last Updated,Resync Interval,Manageability,Device Role,Device Series,AP LED Flash Status,Advisories,Template Provision Status,Software Image,Template Conflict Status,Image Version,OS Update Status,Image Needs Update,Image Precheck Status,Provisioning Status,Credential Status,Last Provisioned,Associated WLC IP,AP CDP Neighbors,AP Group Name,Flex Group Name,AP Ethernet Mac Address,AP Location,AP Zone Name,RF Profile,Policy Tag,Site Tag,Application Telemetry,Replacement Serial Number,Replace Status,Compliance,Integrity Verification,EoX Status,Health Score
"DP-Physics,Edge-Node",001-m01-a-1.net.uwa.edu.au,10.88.24.58,Switches and Hubs,Global/CRAWLEY/001/Mezzanine,Reachable,Supported,74:ad:98:60:e2:00,C9300L-24P-4X,FOC2529LJP2,122 days 6 hrs ,29 minutes,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,3,,cat9k_iosxe.17.09.05.SPA.bin,,17.9.5,Device Uptodate,UPTODATE,Success,Success,Not Applied,a day ago,,,,,,,,,,,Enabled,,,COMPLIANT,PASSED,1 alert,10
"DP-Physics,Edge-Node",101-303-a-1.net.uwa.edu.au,10.88.24.36,Switches and Hubs,Global/CRAWLEY/101/Third Floor,Reachable,Supported,5c:5a:c7:f6:08:80,C9300L-24P-4X,FOC2326L05H,85 days 6 hrs ,about 6 hours,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,3,,cat9k_iosxe.17.09.05.SPA.bin,,17.9.5,Device Uptodate,UPTODATE,Success,Success,Success,a day ago,,,,,,,,,,,Enabled,,,COMPLIANT,PASSED,1 alert,10
"DP-Physics,Edge-Node",101-g11a-a-1.net.uwa.edu.au,10.88.24.34,Switches and Hubs,Global/CRAWLEY/101/Ground Floor,Reachable,Supported,80:24:8f:87:25:00,C9300L-48P-4X,FOC2542YPWU,122 days 6 hrs ,about 6 hours,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,3,,cat9k_iosxe.17.09.05.SPA.bin,,17.9.5,Device Uptodate,UPTODATE,Success,Success,Success,a day ago,,,,,,,,,,,Enabled,,,COMPLIANT,PASSED,1 alert,8
"DP-Physics,Edge-Node",102-142-a-1.net.uwa.edu.au,10.88.24.49,Switches and Hubs,Global/CRAWLEY/102/First Floor,Reachable,Supported,3c:8b:7f:fa:b5:00,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-24P-4X","FOC2629YKD1, FOC2629YNHR, FOC2629YNG0, FOC2529LH7S",122 days 6 hrs ,5 minutes,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,3,,cat9k_iosxe.17.09.05.SPA.bin,,17.9.5,Device Uptodate,UPTODATE,Success,Success,Not Applied,a day ago,,,,,,,,,,,Enabled,,,COMPLIANT,PASSED,1 alert,8
"DP-Physics,Edge-Node",102-b02a-a-1.net.uwa.edu.au,10.88.24.48,Switches and Hubs,Global/CRAWLEY/102/Basement 1,Reachable,Supported,88:fc:5d:5f:20:80,C9300L-48P-4X,FOC2629YRP5,122 days 6 hrs ,18 minutes,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,3,,cat9k_iosxe.17.09.05.SPA.bin,,17.9.5,Device Uptodate,UPTODATE,Success,Success,Not Applied,a day ago,,,,,,,,,,,Enabled,,,COMPLIANT,PASSED,1 alert,8
"DP-Physics,Edge-Node",102-b14-a-1.net.uwa.edu.au,10.88.24.47,Switches and Hubs,Global/CRAWLEY/102/Basement 1,Reachable,Supported,44:88:16:0e:77:00,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X","FOC2629YRAJ, FOC2629YNH4, FOC2629YQN3, FOC2629YSJ8, FVH2812L2WS",122 days 6 hrs ,6 minutes,24:00:00,Managed (Syncing...),ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,3,,cat9k_iosxe.17.09.05.SPA.bin,,17.9.5,Device Uptodate,UPTODATE,Success,Success,Not Applied,a day ago,,,,,,,,,,,Enabled,,,COMPLIANT,PASSED,1 alert,8
"Aggregation Switch,DP-Physics",102-b14-g-1.net.uwa.edu.au,10.88.24.45,Switches and Hubs,Global/CRAWLEY/102/Basement 1,Reachable,Supported,c0:f8:7f:70:9d:40,C9500-24Y4C,FDO26161SJF,122 days 6 hrs ,about 6 hours,24:00:00,Managed,DISTRIBUTION,Cisco Catalyst 9500 Series Switches,Unsupported,3,,cat9k_iosxe.17.09.05.SPA.bin,,17.9.5,Device Uptodate,UPTODATE,Success,Success,Not Applied,a day ago,,,,,,,,,,,Not Provisioned,,,COMPLIANT,PASSED,1 alert,10
"DP-Physics,Edge-Node",103-g47-a-1.net.uwa.edu.au,10.88.24.12,Switches and Hubs,Global/CRAWLEY/103/Ground,Reachable,Supported,ac:bc:d9:03:27:80,C9300L-24P-4X,FOC2604YHNN,122 days 6 hrs ,about 5 hours,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,3,,cat9k_iosxe.17.09.05.SPA.bin,,17.9.5,Device Uptodate,UPTODATE,Success,Success,Success,a day ago,,,,,,,,,,,Enabled,,,COMPLIANT,PASSED,1 alert,10
"DP-Physics,Edge-Node",103-g62-a-1.net.uwa.edu.au,10.88.24.10,Switches and Hubs,Global/CRAWLEY/103/Ground,Reachable,Supported,80:24:8f:82:b9:80,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X","FOC2542YFSU, FOC2604YKAW, FOC2604YKB9, FOC2542YKXG",122 days 6 hrs ,7 minutes,24:00:00,Managed (Syncing...),ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,3,,cat9k_iosxe.17.09.05.SPA.bin,,17.9.5,Device Uptodate,UPTODATE,Success,Success,Success,a day ago,,,,,,,,,,,Enabled,,,COMPLIANT,PASSED,1 alert,8
"DP-Physics,Edge-Node",104-160-a-1.net.uwa.edu.au,10.88.24.107,Switches and Hubs,Global/CRAWLEY/104/First Floor,Reachable,Supported,44:88:16:0e:eb:00,"C9300L-48P-4X, C9300L-48P-4X","FOC2629YS2X, FOC2629YQUB",122 days 1 hr ,6 minutes,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,3,,cat9k_iosxe.17.09.05.SPA.bin,,17.9.5,Device Uptodate,UPTODATE,Success,Success,Not Applied,a day ago,,,,,,,,,,,Enabled,,,COMPLIANT,PASSED,1 alert,10
